feature,country_count,rest_count,log_odds,weighted_score,feature_type,country
corn + pea,3,12,3.784772214767829,6.40817640449577,pair,Bolivia
cumin + vinegar,3,13,3.7100816617645394,6.281714305263787,pair,Bolivia
cow_foot,1,1,4.890349128221754,6.585214983312102,ingredient,Bosnia and Herzegovina
white_cheese,1,1,4.890349128221754,6.585214983312102,ingredient,Bosnia and Herzegovina
basil_seed,1,1,4.890349128221754,6.585214983312102,ingredient,Bosnia and Herzegovina
ground_lamb,2,10,3.6658899358892376,5.67958580212557,ingredient,Bosnia and Herzegovina
sunflower_oil,1,4,3.9723217823076813,5.349023604149394,ingredient,Bosnia and Herzegovina
bay_leaf + paprika,4,32,3.247551624844867,5.860917978651014,pair,Bosnia and Herzegovina
ground_lamb + onion,2,9,3.761781342097603,5.8281509469530235,pair,Bosnia and Herzegovina
lamb + paprika,3,19,3.4375000886597227,5.820193583288772,pair,Bosnia and Herzegovina
beef + lamb,4,35,3.1587719007984956,5.7006955277368085,pair,Bosnia and Herzegovina
ground_lamb + lamb,2,10,3.6658899358892376,5.67958580212557,pair,Bosnia and Herzegovina
yerba_mate,2,0,5.109458358075157,7.916115228384832,ingredient,Brazil
cassava_flour,2,1,4.415726553119724,6.841312280447425,ingredient,Brazil
roast_beef,1,1,3.978512746696979,5.357360193294387,ingredient,Brazil
chicken_blood,1,1,3.978512746696979,5.357360193294387,ingredient,Brazil
chocolate_icing,1,1,3.978512746696979,5.357360193294387,ingredient,Brazil
cassava + onion,3,7,3.3463891451671604,5.665929346196183,pair,Brazil
coconut_milk + lime_juice,3,9,3.122071195597009,5.286126042332493,pair,Brazil
parsley + rice,4,17,2.786618199763461,5.029062688852549,pair,Brazil
coconut + lime_juice,3,11,2.9385738597140425,4.9754380454419875,pair,Brazil
lime_juice + milk,3,12,2.8579427436681306,4.83891769864345,pair,Brazil
pandan_leaf,4,17,3.9684266763594414,7.161894849183309,ingredient,Brunei
coconut_milk,8,103,3.338503312323232,7.006224077000724,ingredient,Brunei
coconut,9,162,3.1807342838004256,6.842689957127402,ingredient,Brunei
rose_syrup,1,1,4.970970037703824,6.69377697084501,ingredient,Brunei
lemon_gras,5,44,3.336362520323868,6.325342089607802,ingredient,Brunei
pandan_leaf + rice,4,12,4.296761983019193,7.754447801107501,pair,Brunei
coconut_milk + pandan_leaf,4,12,4.296761983019193,7.754447801107501,pair,Brunei
milk + pandan_leaf,4,12,4.296761983019193,7.754447801107501,pair,Brunei
coconut + pandan_leaf,4,15,4.087375892906008,7.376564755112064,pair,Brunei
coconut_milk + milk,8,103,3.338503312323232,7.006224077000724,pair,Brunei
sunflower_oil,2,3,4.456670177669648,6.904746489533929,ingredient,Bulgaria
dried_mint,1,1,4.680973149403592,6.303274819796546,ingredient,Bulgaria
caraway,1,1,4.680973149403592,6.303274819796546,ingredient,Bulgaria
yellow_cheese,1,1,4.680973149403592,6.303274819796546,ingredient,Bulgaria
cow_foot,1,1,4.680973149403592,6.303274819796546,ingredient,Bulgaria
beef + paprika,5,37,3.101750467630788,5.880545853410794,pair,Bulgaria
bay_leaf + pea,2,8,3.6428355156125294,5.643867447136806,pair,Bulgaria
olive + zucchini,2,8,3.6428355156125294,5.643867447136806,pair,Bulgaria
olive_oil + zucchini,2,8,3.6428355156125294,5.643867447136806,pair,Bulgaria
bay_leaf + mushroom,2,8,3.6428355156125294,5.643867447136806,pair,Bulgaria
pate,1,1,5.154446996128335,6.940842197484352,ingredient,Cambodia
water_spinach,1,1,5.154446996128335,6.940842197484352,ingredient,Cambodia
pandan_leaf,3,18,3.8095821998736543,6.450183360827432,ingredient,Cambodia
green_papaya,1,2,4.748404354073999,6.39407589916648,ingredient,Cambodia
pickled_daikon,1,2,4.748404354073999,6.39407589916648,ingredient,Cambodia
lemon_gras + pork,3,9,4.456670177669648,7.545798546006955,pair,Cambodia
coconut + pork,3,9,4.456670177669648,7.545798546006955,pair,Cambodia
bean + coconut,4,26,3.8101836201688988,6.876310605986517,pair,Cambodia
fish_sauce + sugar,4,32,3.6059917943081685,6.5078017471510865,pair,Cambodia
lemon + pork,3,18,3.8095821998736543,6.450183360827432,pair,Cambodia
maple_syrup,5,1,4.6815400358566315,8.875636880764816,ingredient,Canada
cheese_curd,3,0,4.928140603175432,8.344067367669473,ingredient,Canada
sushi_rice,3,0,4.928140603175432,8.344067367669473,ingredient,Canada
vodka,2,2,3.520460802488973,5.454271552183363,ingredient,Canada
wasabi,2,3,3.232186838927873,5.0076469291866195,ingredient,Canada
syrup + vanilla,4,6,3.222440891032697,5.815600161335671,pair,Canada
brown_sugar + vanilla_extract,4,7,3.0883162026328357,5.573542793683735,pair,Canada
brown_sugar + vanilla,4,9,2.86398500272297,5.168688024735484,pair,Canada
garlic_powder + onion,4,11,2.680474385146825,4.837502934528717,pair,Canada
sugar + syrup,6,22,2.4023534420478696,4.739735414297328,pair,Canada
pumpkin,4,15,3.71731738943447,6.708713158987667,ingredient,Chile
shellfish,1,2,4.2749284991175145,5.756505817246847,ingredient,Chile
peanut_butter,1,3,3.9866665484239117,5.3683398873602535,ingredient,Chile
hot_dog,1,4,3.7629427824139934,5.067079372533321,ingredient,Chile
fish_stock,1,4,3.7629427824139934,5.067079372533321,ingredient,Chile
potato + pumpkin,4,10,4.0949271430716685,7.390192639429169,pair,Chile
garlic + pumpkin,3,7,4.117875059632294,6.972168547114537,pair,Chile
onion + pumpkin,3,7,4.117875059632294,6.972168547114537,pair,Chile
carrot + cumin,3,10,3.797675619603737,6.430023768013311,pair,Chile
cilantro + lemon_juice,3,13,3.5547648010470985,6.01874000044663,pair,Chile
sichuan_peppercorn,7,0,5.295327827699671,10.800990158565641,ingredient,China
rock_sugar,6,0,5.146981349290007,10.154762971580924,ingredient,China
dark_soy_sauce,7,1,4.60158166539076,9.385941701613675,ingredient,China
shaoxing_wine,6,1,4.453235186981097,8.786032960219472,ingredient,China
wheat_starch,4,0,4.7815215757955425,8.629302627399037,ingredient,China
ginger + wine,17,8,4.065872888140789,9.941814971679714,pair,China
scallion + wine,11,3,4.374258445027371,9.809070393997285,pair,China
soy_sauce + wine,18,10,3.9357648969835095,9.730074684740126,pair,China
scallion + soy_sauce,19,16,3.5661376198489405,8.907734399707183,pair,China
ginger + scallion,16,14,3.4768804673527915,8.402252535248962,pair,China
achiote,4,8,3.8618986182455775,6.969641643336227,ingredient,Colombia
yuca,2,4,3.8458832029236008,5.958450476680669,ingredient,Colombia
pork_sausage,1,1,4.314003789453699,5.809123571246075,ingredient,Colombia
yucca,1,1,4.314003789453699,5.809123571246075,ingredient,Colombia
ripe_plantain,1,1,4.314003789453699,5.809123571246075,ingredient,Colombia
achiote + garlic,4,8,3.8618986182455775,6.969641643336227,pair,Colombia
achiote + onion,4,8,3.8618986182455775,6.969641643336227,pair,Colombia
corn + cumin,3,8,3.5899649027619356,6.07833895342053,pair,Colombia
corn + lime,4,14,3.347562165829524,6.041408897787546,pair,Colombia
cumin + lime,4,14,3.347562165829524,6.041408897787546,pair,Colombia
cottage_cheese,2,3,4.217958518189278,6.534909048776813,ingredient,Croatia
sour_cream,6,36,3.0576491178548473,6.032604343196734,ingredient,Croatia
white_cheese,1,1,4.4555094114336855,5.999671304680466,ingredient,Croatia
plum,1,1,4.4555094114336855,5.999671304680466,ingredient,Croatia
dried_mint,1,1,4.4555094114336855,5.999671304680466,ingredient,Croatia
egg + sour_cream,5,13,3.8243620668697207,7.250530540404919,pair,Croatia
butter + sour_cream,4,13,3.581415888259331,6.46344914363854,pair,Croatia
bay_leaf + paprika,6,30,3.2381301256010926,6.388685263285554,pair,Croatia
paprika + rice,3,8,3.7458663854875467,6.342303109342513,pair,Croatia
tomato + zucchini,3,9,3.6399226093874053,6.162924703540685,pair,Croatia
